,GSM352329.CEL,GSM352330.CEL,GSM352331.CEL
200620_at,4872.41146928721,4887.65291691007,4691.12770839724
200621_at,4019.07018419056,3255.76607508239,3116.46909281019
200622_x_at,614.625603574897,447.182395774337,457.749752841419
200623_s_at,1046.89101926004,549.525332385546,851.373894026475
200624_s_at,2119.50065803582,2233.92820131483,2276.90144490169
200625_s_at,6796.17896425438,6324.72079450453,5731.21472242871
200626_s_at,2593.87909359723,2915.5965300124,2689.7139265958
200627_at,4796.12088128455,4657.37689948046,4709.08684731012
200628_s_at,938.508606459459,734.55728702024,797.242568616493
200629_at,942.816182223409,1196.526378785,1164.43528625091
200630_x_at,6750.37792963724,5679.44772277583,5062.95847950294
200631_s_at,4184.73026733402,4280.94277838358,3979.09098373412
200632_s_at,1794.30223250512,1928.62025633065,2325.39189206653
200633_at,17463.6903825443,13582.5305937644,11287.3585528342
200634_at,11498.8612017761,8143.51024157481,7794.28389963317
200635_s_at,1391.9491280654,1208.77203029247,1528.26166850122
200636_s_at,2437.36870592669,2825.46269771176,2584.95625100926
200637_s_at,1202.22148756846,729.355294088954,1041.13191173885
200638_s_at,7203.85220819271,6254.80831839636,5331.0666468281
200639_s_at,3050.05691858047,4500.36428215992,3624.83583608592
200640_at,7302.56241386611,7085.4302515326,6284.33722186405
200641_s_at,8026.54245117789,5272.53580292502,5175.89552476308
200642_at,9864.85453600377,8776.15775096668,8076.6034018647
200643_at,1632.13567328686,1498.99075914851,1885.65124498208
200644_at,1967.91100498017,1763.64158289088,1935.34208421399
200645_at,8483.62068160183,6978.12639369456,6603.13050198281
200646_s_at,779.413312850353,511.648980653939,619.734202926191
200647_x_at,4268.80265223797,4179.47600852602,3596.25368535093
200648_s_at,360.678722948324,274.294951318065,316.232769317643
200649_at,1544.31242557692,1136.56080641807,1462.06469135787
200650_s_at,15481.3540231447,12096.8567531051,10039.3882458931
200651_at,15251.7931187753,13575.3141223489,10651.8390436126
200652_at,3710.26633918433,3415.01214588304,3441.0155531338
200653_s_at,1965.61987165294,2371.03042245075,2774.57097350039
200654_at,20564.9971066922,15538.2717981837,12960.6769304145
200655_s_at,2214.11762765193,2393.41902759429,2398.98193679376
200656_s_at,9159.05225124167,7925.21305545224,8540.09870693683
200657_at,6026.89884261049,6020.2359945177,5359.12948884433
200658_s_at,2885.00894037516,2912.13752564831,2793.88397703317
200659_s_at,1117.30599617584,1340.77633428346,1226.77751177141
200660_at,5764.89349699884,4402.2232943863,5225.0683621034
200661_at,4535.96880881171,3763.59803699849,3777.35943915721
200662_s_at,3537.74147737899,3914.99043277609,3484.47572945268
200663_at,13390.3211881233,10755.7133583437,9884.23847241994
200664_s_at,827.252203970294,701.235183792825,726.20580260321
200665_s_at,14066.2712933354,9412.92555250234,8521.33349937422
200666_s_at,1330.30224335601,1516.652863783,1632.48010305406
200667_at,2279.97496284659,2650.9011524549,2336.47514610798
200668_s_at,6262.13978557722,6304.07723987384,5823.42909934281
200669_s_at,3293.6812195928,3017.7988915971,2968.02567013866
200670_at,973.255267122857,1409.03814153173,1364.02428938239
200671_s_at,635.273730614813,291.681555535607,398.870763030723
200672_x_at,1070.35889383238,540.440268234504,774.650808323161
