GeneName;Column1;logCPM;F;Pvalue;FDR
SH3PXD2A;-6,81E+14;8,30E+14;6,98E+14;4,17E+14;7,39E+14
SETD4;1,45E+14;3,60E+14;6,98E+14;4,17E+14;7,39E+14
CNNM4;-9,48E+14;4,79E+14;6,97E+14;4,18E+14;7,40E+14
TPRG1L;7,94E+14;6,03E+14;6,96E+14;4,18E+14;7,40E+14
NSA2;-7,91E+14;7,79E+14;6,96E+14;4,18E+14;7,40E+14
STX11;5,11E+14;-2,39E+14;6,96E+14;4,18E+14;7,40E+14
SNORD15B;5,17E+14;-7,42E+14;6,96E+14;4,18E+14;7,40E+14
MRPL2;1,24E+14;4,18E+14;6,96E+14;4,18E+14;7,40E+14
TRIM62;1,44E+14;3,58E+14;6,96E+14;4,18E+14;7,40E+14
ZNF674;1,98E+14;1,50E+14;6,95E+14;4,18E+14;7,40E+14
PGAP2;9,83E+13;4,32E+14;6,95E+14;4,18E+14;7,40E+14
HIST1H1C;1,24E+14;3,85E+14;6,95E+14;4,18E+13;7,40E+14
LYPD5;3,59E+14;1,61E+14;6,95E+14;4,18E+13;7,40E+14
TTN;6,46E+14;-7,47E+13;6,94E+14;4,19E+14;7,41E+14
PLXNB2;1,20E+14;8,52E+14;6,93E+14;4,19E+14;7,41E+14
ZNF501;-1,72E+14;2,24E+14;6,93E+14;4,19E+14;7,41E+14
RAD51AP1;-2,21E+14;1,70E+14;6,93E+14;4,19E+14;7,41E+14
PPP4C;9,21E+14;6,05E+14;6,93E+13;4,19E+14;7,41E+14
ESF1;-9,18E+14;5,54E+14;6,93E+14;4,19E+14;7,41E+14
ALYREF;1,15E+14;4,82E+14;6,93E+14;4,19E+14;7,41E+14
DGCR2;8,65E+14;6,65E+14;6,92E+14;4,19E+13;7,41E+14
AMER1;-1,38E+14;2,91E+13;6,92E+14;4,19E+14;7,41E+14
PRPF3;8,10E+14;6,24E+14;6,92E+14;4,19E+13;7,41E+14
WSB1;-7,98E+14;7,11E+14;6,92E+14;4,19E+14;7,41E+14
C16orf46;1,86E+14;1,81E+14;6,92E+14;4,19E+13;7,41E+14
EXOSC3;1,13E+13;3,96E+14;6,92E+14;4,19E+13;7,41E+14
DUSP14;8,55E+14;6,15E+14;6,91E+14;4,20E+14;7,41E+14
ZNF584;1,57E+14;2,90E+14;6,91E+13;4,20E+14;7,41E+14
MTIF3;-1,02E+14;5,02E+14;6,91E+13;4,20E+14;7,41E+14
CEP170B;1,13E+14;6,50E+14;6,91E+14;4,20E+14;7,41E+14
ARMC12;-5,23E+14;-6,44E+14;6,90E+14;4,20E+14;7,41E+14
MYOM3;2,39E+14;1,40E+14;6,90E+14;4,20E+14;7,41E+14
STARD7;-8,85E+14;6,51E+14;6,90E+14;4,20E+14;7,41E+14
AURKC;-2,84E+14;9,46E+14;6,90E+14;4,20E+14;7,41E+14
RPL3L;7,56E+14;-1,18E+14;6,90E+14;4,20E+14;7,41E+14
GPR85;-2,48E+14;1,29E+14;6,90E+14;4,20E+14;7,41E+14
RBM17;-7,64E+14;6,80E+14;6,90E+14;4,20E+14;7,41E+14
MCM10;-1,74E+13;2,75E+14;6,89E+14;4,20E+14;7,41E+14
FOXP1;8,34E+14;5,45E+14;6,89E+14;4,20E+14;7,41E+14
TRIM31;4,25E+13;-2,94E+14;6,89E+14;4,20E+13;7,41E+14
MRPS23;1,04E+13;5,10E+14;6,89E+13;4,20E+14;7,41E+14
MED8;1,20E+14;4,64E+14;6,88E+14;4,20E+14;7,41E+14
MAGOHB;-1,43E+14;3,15E+14;6,88E+13;4,20E+14;7,41E+14
RPL7L1;-8,00E+14;6,37E+14;6,88E+13;4,21E+14;7,41E+14
PEA15;7,47E+14;8,81E+14;6,88E+14;4,21E+14;7,41E+14
PDZD8;-8,75E+13;5,82E+13;6,87E+14;4,21E+14;7,41E+14
SKP2;-9,60E+14;4,64E+14;6,87E+14;4,21E+14;7,41E+14
KCTD3;-7,55E+13;6,03E+14;6,87E+14;4,21E+14;7,41E+14
MAP3K13;9,58E+13;5,16E+14;6,87E+14;4,21E+14;7,41E+14
DHRS3;-7,57E+14;7,51E+14;6,86E+14;4,21E+13;7,41E+14
SLC29A4;2,79E+13;9,76E+14;6,85E+14;4,21E+14;7,42E+13
GALT;1,47E+13;3,45E+14;6,85E+13;4,21E+13;7,42E+14
CLOCK;-8,76E+14;6,31E+14;6,85E+14;4,22E+14;7,42E+14
FHL1;8,80E+14;5,09E+13;6,84E+14;4,22E+14;7,42E+14
KIF27;-1,49E+14;3,18E+13;6,84E+14;4,22E+14;7,42E+14
GTF3C1;6,97E+14;7,57E+14;6,83E+14;4,22E+14;7,43E+14
BSDC1;7,54E+14;6,90E+14;6,83E+14;4,22E+12;7,43E+14
SMAD6;7,71E+13;-1,23E+14;6,83E+14;4,22E+14;7,43E+14
SIL1;8,47E+14;6,00E+14;6,82E+12;4,22E+14;7,43E+14
PFDN1;8,06E+13;6,11E+14;6,82E+14;4,22E+14;7,43E+14
ISM2;-4,37E+14;-3,41E+14;6,82E+14;4,23E+14;7,43E+14
EXOC3L2;8,84E+14;-1,64E+14;6,82E+14;4,23E+14;7,43E+14
RAET1G;9,71E+14;5,05E+14;6,82E+14;4,23E+14;7,43E+14
FAM183A;3,90E+14;-2,60E+14;6,82E+14;4,23E+14;7,43E+14
HNRNPM;7,00E+14;7,70E+14;6,81E+14;4,23E+14;7,43E+14
PDLIM5;7,38E+14;6,71E+14;6,81E+13;4,23E+14;7,43E+13
TMEM52;7,86E+14;-1,32E+14;6,81E+14;4,23E+14;7,43E+13
ZNF672;-1,10E+14;4,30E+14;6,81E+14;4,23E+14;7,43E+13
CRIPT;-2,20E+14;1,45E+14;6,81E+14;4,23E+14;7,43E+13
MAGI3;-1,07E+13;3,98E+14;6,80E+14;4,23E+14;7,43E+13
USH1G;-3,69E+14;6,38E+14;6,80E+14;4,23E+14;7,43E+13
SLC30A5;-1,15E+14;4,85E+14;6,80E+14;4,23E+14;7,43E+13
GEMIN6;-1,17E+13;4,39E+14;6,80E+14;4,23E+14;7,43E+14
AARS2;9,06E+14;5,47E+14;6,80E+14;4,23E+14;7,43E+14
ECI1;1,78E+14;3,07E+14;6,80E+14;4,23E+13;7,43E+14
IL10RB;-1,02E+14;4,19E+14;6,79E+14;4,23E+14;7,43E+14
CCDC25;-7,92E+14;5,87E+14;6,79E+14;4,23E+14;7,43E+14
INO80D;-1,24E+14;4,36E+14;6,79E+14;4,24E+14;7,43E+14
MIA3;-7,67E+14;6,72E+14;6,78E+14;4,24E+14;7,43E+14
NDUFS4;-8,44E+14;5,52E+14;6,78E+14;4,24E+14;7,43E+14
ARPC4;8,59E+14;5,22E+14;6,78E+14;4,24E+14;7,43E+14
NPPA-AS1;5,27E+14;-7,67E+14;6,78E+14;4,24E+13;7,43E+14
RNF145;6,74E+14;7,31E+14;6,77E+14;4,24E+14;7,44E+14
FYCO1;-7,32E+13;6,48E+14;6,77E+14;4,24E+14;7,44E+14
GLB1L2;1,28E+14;3,20E+14;6,77E+14;4,24E+14;7,44E+14
SLC16A5;-2,28E+14;2,88E+13;6,76E+14;4,24E+14;7,44E+14
POLA2;1,36E+14;3,60E+14;6,76E+14;4,24E+14;7,44E+14
CCDC69;1,08E+14;3,72E+12;6,76E+14;4,24E+14;7,44E+14
DGKA;6,76E+14;7,93E+14;6,76E+14;4,25E+14;7,44E+14
DCAF11;-7,72E+14;5,76E+14;6,76E+14;4,25E+14;7,44E+14
RPL27A;7,88E+14;1,07E+13;6,75E+14;4,25E+14;7,44E+14
UNC50;-1,20E+14;4,27E+14;6,75E+14;4,25E+14;7,44E+14
CITED4;1,04E+14;4,98E+14;6,75E+14;4,25E+14;7,44E+14
PTPN6;-1,15E+13;5,09E+14;6,75E+14;4,25E+14;7,44E+14
NDUFB2-AS1;4,08E+13;-3,67E+14;6,75E+14;4,25E+14;7,44E+14
NEFH;2,38E+14;1,01E+14;6,74E+14;4,25E+14;7,44E+14
MAGED1;6,72E+13;7,51E+14;6,74E+14;4,25E+14;7,44E+14
EXT2;8,45E+14;7,04E+14;6,74E+14;4,25E+14;7,44E+14
RRP8;1,22E+14;3,83E+14;6,73E+13;4,25E+14;7,44E+14
CEP57L1;-1,88E+14;2,30E+14;6,73E+12;4,25E+14;7,44E+14
RABIF;1,28E+14;3,97E+14;6,73E+13;4,26E+14;7,44E+14
ETFB;9,77E+14;5,42E+14;6,72E+14;4,26E+14;7,45E+14
MIR23B;-7,44E+14;-1,50E+14;6,72E+14;4,26E+14;7,45E+14
HYAL4;6,39E+14;-1,09E+14;6,72E+14;4,26E+12;7,45E+14
SAMD8;-8,37E+14;5,90E+14;6,72E+14;4,26E+14;7,45E+14
FAM117B;-1,62E+14;3,08E+14;6,71E+14;4,26E+14;7,45E+14
TAMM41;1,32E+14;3,51E+13;6,71E+14;4,26E+14;7,45E+14
BBS2;-8,82E+12;5,78E+14;6,70E+14;4,27E+14;7,45E+14
KIAA0040;8,86E+14;5,37E+14;6,70E+14;4,27E+14;7,45E+14
SEC22B;7,22E+14;6,40E+13;6,70E+14;4,27E+14;7,45E+14
ADM2;-3,05E+14;6,21E+14;6,69E+14;4,27E+14;7,46E+14
EMD;8,03E+14;5,73E+14;6,69E+13;4,27E+14;7,46E+13
TOM1L1;8,00E+14;5,71E+14;6,68E+14;4,27E+14;7,46E+14
MIF;-1,60E+14;7,50E+14;6,68E+14;4,27E+13;7,46E+14
SLC10A7;-1,82E+14;2,96E+14;6,67E+12;4,27E+14;7,46E+14
ZNF91;-1,05E+14;4,71E+14;6,67E+14;4,27E+14;7,46E+14
TFCP2;8,67E+14;6,00E+14;6,67E+14;4,27E+14;7,46E+14
ANO6;-7,27E+14;7,58E+14;6,67E+14;4,27E+14;7,46E+14
RAB8A;7,35E+14;7,12E+14;6,67E+14;4,27E+14;7,46E+14
LMCD1-AS1;-6,48E+14;-8,37E+13;6,67E+14;4,28E+13;7,46E+14
RAD52;-1,16E+13;3,51E+14;6,67E+14;4,28E+14;7,46E+14
CYP1A1;-1,03E+14;4,94E+14;6,66E+13;4,28E+14;7,46E+14
PPP1R26;1,09E+14;4,45E+14;6,66E+14;4,28E+14;7,46E+14
ADAL;-1,61E+14;2,50E+14;6,65E+14;4,28E+14;7,46E+14
IZUMO1;5,33E+14;-5,34E+14;6,65E+14;4,28E+14;7,46E+14
DERA;-9,10E+14;5,17E+14;6,65E+13;4,28E+14;7,46E+14
LHX6;-3,23E+14;3,23E+14;6,65E+13;4,28E+14;7,46E+14
BRD7;8,40E+14;6,77E+14;6,65E+14;4,28E+14;7,46E+14
UNC80;-2,89E+14;5,88E+14;6,64E+14;4,28E+14;7,47E+14
PTPRJ;1,16E+13;4,06E+14;6,64E+14;4,29E+14;7,47E+14
ARID3B;1,04E+14;4,63E+13;6,64E+14;4,29E+14;7,47E+14
HEXA;1,09E+14;5,59E+14;6,63E+14;4,29E+14;7,47E+14
GATA3;-1,41E+14;2,60E+14;6,63E+14;4,29E+14;7,47E+14
KRT19;1,02E+13;1,18E+13;6,63E+14;4,29E+14;7,47E+14
LRRC42;-1,12E+14;4,61E+14;6,63E+14;4,29E+14;7,47E+14
TLX1;2,65E+14;9,16E+14;6,63E+14;4,29E+14;7,47E+14
CNKSR1;1,15E+14;5,02E+14;6,63E+14;4,29E+14;7,47E+14
KDM2A;6,78E+14;7,74E+14;6,63E+14;4,29E+14;7,47E+14
FAM86EP;3,68E+14;3,51E+14;6,62E+13;4,29E+14;7,47E+14
MCM3AP-AS1;2,55E+13;1,33E+14;6,62E+13;4,29E+13;7,47E+13
DNAJB14;-1,21E+14;4,13E+14;6,61E+14;4,30E+14;7,47E+14
CEBPZ;-1,07E+14;6,07E+14;6,61E+14;4,30E+14;7,47E+14
BRIP1;-1,98E+14;1,49E+14;6,61E+13;4,30E+14;7,47E+14
RFWD3;-7,70E+13;5,71E+14;6,60E+14;4,30E+14;7,47E+13
TOMM34;9,35E+14;5,60E+14;6,60E+14;4,30E+14;7,47E+13
CMSS1;9,90E+14;4,61E+14;6,60E+14;4,30E+13;7,47E+13
ST7;-1,18E+14;4,45E+14;6,60E+14;4,30E+14;7,47E+13
CMTM1;4,37E+14;-2,62E+14;6,60E+14;4,30E+14;7,47E+13
MYO9A;-9,24E+14;5,07E+14;6,60E+14;4,30E+14;7,47E+13
ZNF462;-6,75E+13;6,46E+14;6,59E+14;4,30E+14;7,47E+13
TPGS2;6,75E+14;6,98E+14;6,59E+14;4,30E+14;7,47E+13
COPRS;-1,18E+14;3,93E+14;6,59E+14;4,30E+14;7,47E+13
MCU;-7,26E+14;6,56E+14;6,59E+14;4,30E+13;7,47E+13
CCPG1;-9,34E+14;4,44E+14;6,58E+14;4,31E+14;7,48E+14
GLDC;5,06E+14;-6,33E+13;6,58E+14;4,31E+14;7,48E+14
LONP1;1,02E+14;5,94E+14;6,57E+11;4,31E+14;7,48E+14
RNF115;-9,70E+14;4,41E+14;6,57E+14;4,31E+14;7,48E+14
PRDX1;6,98E+14;8,98E+13;6,57E+14;4,31E+14;7,48E+14
LMAN1;-6,55E+14;7,43E+14;6,57E+13;4,31E+14;7,48E+14
ARSB;1,10E+14;4,07E+14;6,57E+13;4,31E+14;7,48E+14
ASB3;-5,51E+14;-7,18E+14;6,56E+14;4,31E+14;7,49E+13
USP32P2;-6,57E+14;-1,27E+14;6,55E+14;4,31E+14;7,49E+13
SLC25A40;-1,63E+14;2,25E+14;6,55E+14;4,32E+14;7,49E+14
EXOC8;9,86E+14;4,41E+14;6,55E+14;4,32E+14;7,49E+14
MCM3AP;7,18E+14;6,19E+14;6,54E+14;4,32E+13;7,49E+14
GRWD1;9,94E+13;4,69E+13;6,53E+14;4,32E+14;7,49E+14
NODAL;-4,99E+14;-6,53E+14;6,53E+13;4,32E+14;7,50E+14
ELAVL1;7,38E+14;6,45E+14;6,52E+13;4,33E+14;7,50E+14
KLHDC9;-4,97E+14;-1,74E+13;6,52E+14;4,33E+14;7,50E+13
SEC16A;7,58E+12;7,50E+14;6,52E+14;4,33E+13;7,50E+13
ARHGEF1;1,13E+14;5,78E+14;6,51E+14;4,33E+13;7,50E+13
MTCH1;7,66E+14;7,24E+14;6,51E+14;4,33E+14;7,50E+13
C1orf109;-1,03E+14;4,31E+14;6,51E+14;4,33E+14;7,50E+13
MSANTD3;8,99E+14;5,37E+14;6,51E+14;4,33E+14;7,50E+13
FBXL13;-8,51E+14;-1,43E+13;6,51E+14;4,33E+14;7,50E+13
ABHD14B;-1,06E+13;5,60E+14;6,51E+14;4,33E+14;7,50E+13
HLA-DRB1;-1,22E+14;-2,05E+14;6,50E+14;4,33E+13;7,50E+14
TNPO1;-8,20E+14;7,41E+14;6,50E+14;4,33E+14;7,50E+14
ZBTB18;-1,44E+14;3,01E+13;6,50E+14;4,33E+13;7,50E+14
SMARCAL1;9,02E+14;4,77E+13;6,50E+14;4,33E+14;7,50E+14
SFT2D2;1,47E+14;2,77E+14;6,50E+14;4,33E+13;7,50E+14
LOC100652768;3,30E+14;6,98E+14;6,50E+14;4,33E+14;7,50E+14
RPSAP58;-1,53E+14;2,92E+14;6,50E+14;4,34E+14;7,50E+14
UQCRFS1;8,10E+14;6,24E+14;6,49E+14;4,34E+14;7,50E+14
POU6F1;3,56E+14;6,45E+14;6,49E+14;4,34E+14;7,50E+14
ZNF510;1,24E+14;3,93E+14;6,49E+14;4,34E+14;7,50E+13
HLA-C;8,76E+14;7,80E+14;6,49E+14;4,34E+14;7,50E+13
ITGB8;7,96E+14;5,43E+13;6,48E+14;4,34E+14;7,50E+14
ORMDL2;7,81E+14;5,84E+14;6,48E+14;4,34E+14;7,50E+14
LRP5;1,31E+14;5,46E+14;6,48E+14;4,34E+14;7,50E+14
GET4;8,56E+14;5,26E+14;6,48E+14;4,34E+14;7,50E+14
MRPS28;1,07E+14;3,94E+14;6,47E+14;4,34E+14;7,50E+14
ST6GALNAC6;8,65E+14;6,86E+14;6,47E+14;4,34E+14;7,50E+14
RP9P;-1,81E+14;1,87E+14;6,47E+13;4,34E+14;7,50E+14
LTA4H;6,43E+14;8,15E+14;6,47E+14;4,34E+14;7,50E+14
PSMB2;7,94E+13;7,75E+14;6,47E+14;4,34E+14;7,50E+14
ANAPC4;-1,40E+14;3,70E+14;6,47E+14;4,35E+14;7,51E+14
SPDYA;7,57E+14;-9,86E+14;6,46E+14;4,35E+14;7,51E+14
BAP1;8,82E+13;6,44E+14;6,46E+14;4,35E+14;7,51E+14
DGCR11;1,73E+14;2,16E+14;6,46E+14;4,35E+14;7,51E+14
SRD5A1;9,82E+14;4,25E+14;6,44E+14;4,36E+14;7,52E+14
ZNF540;6,70E+14;-1,41E+14;6,43E+13;4,36E+14;7,52E+14
S1PR3;1,72E+14;2,93E+14;6,43E+14;4,36E+14;7,52E+14
KHSRP;-7,02E+14;6,86E+14;6,43E+13;4,36E+14;7,52E+14
MBD6;7,75E+14;5,93E+14;6,43E+14;4,36E+14;7,52E+14
THAP4;1,02E+14;5,15E+14;6,43E+14;4,36E+14;7,52E+14
ITPRIPL2;-7,89E+14;5,87E+14;6,43E+14;4,36E+14;7,52E+14
BAZ2B;-7,19E+14;6,41E+14;6,43E+14;4,36E+14;7,52E+14
PSMD10;-1,00E+14;4,51E+14;6,43E+14;4,36E+14;7,52E+14
SUFU;-8,63E+14;5,03E+14;6,42E+14;4,36E+14;7,52E+14
MSL1;-7,69E+14;6,28E+14;6,42E+14;4,36E+14;7,52E+14
NIPA1;8,65E+14;4,93E+14;6,42E+14;4,36E+14;7,52E+14
WWTR1-AS1;-6,59E+14;-1,27E+14;6,42E+14;4,36E+14;7,52E+14
KLLN;2,87E+14;4,92E+14;6,42E+14;4,36E+14;7,52E+14
FAM71F2;-2,84E+14;1,20E+14;6,41E+14;4,36E+14;7,52E+13
RAB31;-9,54E+14;6,96E+14;6,41E+14;4,36E+14;7,52E+13
POLR2J;-7,99E+14;6,14E+14;6,41E+14;4,36E+14;7,52E+13
CNN3;-7,92E+14;7,42E+14;6,41E+14;4,36E+14;7,52E+14
FGD3;-2,81E+14;8,66E+14;6,41E+14;4,37E+14;7,52E+13
EEF1A2;3,18E+14;1,04E+14;6,41E+14;4,37E+13;7,52E+13
C2CD5;-1,24E+14;3,95E+14;6,41E+14;4,37E+14;7,52E+13
SNORA21;-4,19E+14;-9,10E+14;6,40E+14;4,37E+14;7,52E+14
TCEAL1;-1,15E+14;3,56E+14;6,40E+14;4,37E+14;7,52E+14
AIP;1,10E+13;4,07E+14;6,40E+14;4,37E+14;7,52E+14
USP10;7,75E+14;6,30E+14;6,39E+14;4,37E+14;7,52E+14
PSG5;-2,31E+14;1,03E+14;6,39E+14;4,37E+14;7,52E+14
NKRF;-9,82E+14;4,24E+14;6,39E+14;4,37E+14;7,52E+14
C3orf67;-1,02E+14;3,99E+14;6,39E+14;4,37E+14;7,52E+14
GTF2F2;9,52E+14;5,75E+14;6,39E+14;4,37E+13;7,52E+14
NLRX1;1,28E+14;4,16E+14;6,39E+14;4,37E+14;7,52E+12
JMJD8;1,13E+14;4,75E+14;6,38E+14;4,37E+14;7,52E+14
GCSAM;-3,37E+14;7,77E+14;6,37E+14;4,38E+14;7,53E+14
CAPS2;-3,80E+14;-5,42E+14;6,37E+13;4,38E+14;7,53E+14
SETD7;6,45E+14;7,78E+14;6,36E+14;4,38E+14;7,53E+14
RBBP7;-6,69E+14;6,73E+14;6,36E+14;4,38E+13;7,53E+14
SLC1A5;-6,94E+14;7,24E+14;6,36E+14;4,38E+14;7,53E+14
EML3;-8,49E+14;5,10E+14;6,36E+12;4,38E+14;7,53E+14
CPM;-1,32E+14;3,17E+14;6,35E+14;4,38E+14;7,53E+14
ARAP1;8,40E+14;6,93E+14;6,35E+14;4,39E+13;7,53E+14
DDX11;1,14E+14;3,68E+13;6,35E+14;4,39E+14;7,53E+14
NEFM;2,96E+14;5,56E+13;6,35E+14;4,39E+14;7,53E+14
SNORD25;-6,60E+14;-1,07E+14;6,35E+14;4,39E+13;7,53E+14
MACROD2;3,33E+14;1,67E+14;6,34E+14;4,39E+14;7,53E+14
B3GNT5;-1,20E+14;6,32E+14;6,34E+14;4,39E+13;7,53E+14
UBTD2;1,16E+14;4,59E+14;6,34E+14;4,39E+14;7,54E+14
MRPL20;1,01E+14;5,73E+14;6,34E+14;4,39E+14;7,54E+14
MED10;9,36E+14;4,88E+14;6,33E+14;4,39E+14;7,54E+14
ZNF786;1,23E+14;3,24E+14;6,33E+14;4,39E+14;7,54E+14
ABI1;6,82E+13;7,46E+14;6,33E+14;4,39E+14;7,54E+14
GOLT1A;-3,62E+14;-4,69E+14;6,32E+14;4,39E+14;7,54E+13
AHCYL1;-6,81E+13;7,51E+14;6,32E+14;4,40E+14;7,54E+14
SKA3;-2,05E+14;2,59E+13;6,32E+14;4,40E+14;7,54E+14
EDEM1;6,56E+13;6,97E+14;6,31E+14;4,40E+14;7,54E+14
NSMCE2;1,03E+14;4,82E+14;6,31E+14;4,40E+14;7,54E+14
MUS81;1,10E+13;4,29E+14;6,31E+14;4,40E+14;7,54E+14
TSEN2;1,09E+14;4,21E+14;6,31E+14;4,40E+14;7,54E+14
SUCLG1;8,22E+14;5,48E+14;6,31E+13;4,40E+13;7,54E+14
C12orf73;-1,28E+14;3,28E+14;6,31E+12;4,40E+14;7,54E+14
RARA;-1,31E+14;4,54E+14;6,29E+14;4,41E+14;7,55E+14
TBC1D22B;-9,28E+14;5,10E+14;6,29E+14;4,41E+13;7,55E+13
RTKN2;-2,09E+14;1,37E+14;6,29E+13;4,41E+14;7,55E+13
WDR3;8,27E+14;6,10E+13;6,29E+14;4,41E+14;7,55E+13
PIM1;-8,37E+14;6,43E+14;6,29E+14;4,41E+14;7,55E+13
SDK2;-9,19E+14;5,93E+14;6,28E+13;4,41E+14;7,55E+14
TCFL5;1,25E+14;3,25E+14;6,28E+14;4,41E+14;7,55E+14
MFSD9;1,26E+14;3,42E+14;6,28E+14;4,41E+14;7,55E+14
CDKAL1;9,65E+13;4,50E+14;6,26E+14;4,42E+14;7,56E+14
TGOLN2;-6,45E+14;7,62E+14;6,26E+14;4,42E+13;7,56E+14
DPY19L2P2;-7,41E+14;-1,23E+14;6,26E+14;4,42E+14;7,56E+14
CC2D2A;-1,46E+13;3,51E+14;6,25E+14;4,42E+14;7,56E+14
FAM13A-AS1;-2,57E+14;8,50E+14;6,25E+14;4,42E+14;7,56E+14
ATP10A;2,46E+14;8,18E+14;6,25E+14;4,42E+14;7,56E+14
LOXL1-AS1;2,33E+14;1,31E+14;6,25E+13;4,42E+14;7,56E+14
MGST2;-9,66E+14;5,37E+14;6,25E+14;4,42E+14;7,56E+14
TCP10L;-5,25E+14;-9,01E+14;6,25E+14;4,42E+14;7,56E+14
WDYHV1;-1,69E+14;2,08E+14;6,25E+14;4,42E+14;7,56E+14
DOLK;9,15E+14;4,89E+14;6,24E+14;4,42E+14;7,56E+14
CDC42EP4;1,03E+14;5,48E+14;6,24E+14;4,43E+14;7,56E+14
CIRBP-AS1;3,69E+14;-1,57E+14;6,24E+14;4,43E+14;7,57E+14
CXorf40B;9,39E+13;4,31E+14;6,23E+14;4,43E+14;7,57E+14
RFC5;-1,48E+14;3,91E+14;6,23E+14;4,43E+14;7,57E+13
RAP2C;-1,15E+14;4,49E+14;6,23E+14;4,43E+14;7,57E+13
PRR16;-4,40E+14;-4,62E+14;6,23E+14;4,43E+14;7,57E+13
ZNF578;1,72E+13;1,81E+14;6,23E+14;4,43E+14;7,57E+13
GHRLOS;2,36E+14;1,11E+14;6,22E+14;4,43E+14;7,57E+13
POP1;1,02E+14;4,55E+14;6,22E+14;4,43E+14;7,57E+13
INTU;-1,39E+13;2,50E+14;6,22E+14;4,43E+14;7,57E+13
LAGE3;2,14E+14;1,40E+14;6,22E+14;4,43E+14;7,57E+14
ZNF790;-1,29E+14;3,17E+14;6,21E+14;4,43E+14;7,57E+14
PAK4;1,22E+14;4,81E+14;6,21E+14;4,43E+14;7,57E+14
TCOF1;7,08E+14;6,50E+14;6,21E+14;4,44E+13;7,57E+14
INO80;8,20E+14;5,74E+14;6,21E+14;4,44E+14;7,57E+14
GOLGA8A;-9,14E+14;5,02E+14;6,21E+14;4,44E+13;7,57E+14
ATF1;9,93E+14;4,48E+14;6,21E+14;4,44E+14;7,57E+14
HTRA1;-8,01E+14;5,47E+14;6,20E+14;4,44E+14;7,57E+14
BCL7A;8,80E+14;4,78E+14;6,20E+14;4,44E+14;7,57E+14
HECW2;-3,47E+14;-1,24E+14;6,20E+14;4,44E+13;7,57E+13
NOMO3;1,18E+14;4,14E+14;6,19E+14;4,44E+14;7,58E+14
RASA1;7,56E+14;6,97E+14;6,19E+14;4,44E+14;7,58E+14
RANGRF;1,16E+14;3,49E+14;6,18E+12;4,45E+14;7,58E+14
TARS;6,47E+14;8,38E+12;6,18E+14;4,45E+14;7,58E+14
SLC1A1;-1,36E+14;3,32E+14;6,18E+14;4,45E+14;7,58E+14
AGAP3;1,03E+14;6,22E+14;6,17E+14;4,45E+14;7,58E+14
MDK;-1,16E+13;5,14E+14;6,17E+14;4,45E+14;7,58E+14
SVIP;-1,40E+14;3,42E+14;6,17E+14;4,45E+14;7,58E+14
GLRX3;-7,78E+14;6,63E+13;6,17E+14;4,45E+14;7,58E+14
NRM;-1,36E+14;2,91E+14;6,17E+14;4,45E+14;7,58E+14
CYB5D2;-1,16E+14;3,57E+14;6,16E+12;4,45E+14;7,59E+14
NUP188;7,20E+14;6,16E+13;6,16E+14;4,46E+13;7,59E+14
ZFYVE26;8,53E+14;5,71E+14;6,15E+14;4,46E+14;7,59E+13
GNE;9,47E+14;5,09E+14;6,15E+14;4,46E+14;7,59E+13
OAZ2;-7,89E+14;6,20E+14;6,15E+14;4,46E+14;7,59E+13
PIP5K1B;-4,73E+14;-8,54E+14;6,15E+13;4,46E+14;7,59E+13
HS3ST2;2,43E+13;8,53E+14;6,15E+12;4,46E+14;7,59E+13
MPDU1;7,78E+14;5,39E+14;6,15E+13;4,46E+14;7,59E+14
ATXN7;-8,25E+14;5,62E+14;6,14E+14;4,46E+14;7,59E+14
KLF13;6,67E+14;6,88E+14;6,14E+14;4,46E+14;7,59E+14
FAM32A;6,45E+14;7,24E+14;6,14E+14;4,46E+14;7,59E+14
CRIP2;-1,64E+14;3,87E+14;6,14E+14;4,46E+13;7,59E+14
YPEL3;-1,07E+14;4,04E+14;6,14E+14;4,46E+14;7,59E+14
LDLRAD3;-1,29E+14;3,54E+14;6,13E+14;4,46E+14;7,59E+14
EIF3A;6,49E+14;9,80E+14;6,12E+14;4,47E+14;7,59E+14
MARCH3;-4,84E+14;-7,25E+14;6,12E+14;4,47E+14;7,59E+14
LSM2;1,23E+14;3,81E+14;6,12E+14;4,47E+14;7,60E+13
MALL;1,50E+13;2,59E+14;6,11E+14;4,47E+14;7,60E+13
RGMB;-9,68E+14;4,24E+14;6,11E+14;4,47E+14;7,60E+14
TANK;-7,18E+13;6,28E+14;6,11E+14;4,47E+14;7,60E+14
C3orf20;6,69E+14;-1,31E+13;6,11E+14;4,47E+14;7,60E+14
KIAA1147;-6,94E+13;5,96E+14;6,11E+14;4,47E+14;7,60E+14
FLJ37035;-3,49E+14;6,70E+13;6,10E+14;4,47E+14;7,60E+14
CNOT3;8,48E+14;6,10E+14;6,10E+11;4,48E+14;7,60E+14
MICAL1;9,02E+14;5,86E+14;6,10E+14;4,48E+14;7,60E+14
DENND4B;1,02E+14;4,69E+13;6,09E+14;4,48E+14;7,60E+14
USE1;1,66E+14;2,31E+14;6,09E+13;4,48E+14;7,60E+14
SEC16B;-1,85E+14;2,01E+14;6,09E+14;4,48E+14;7,60E+14
SEMA3B;-1,30E+14;2,89E+13;6,09E+14;4,48E+14;7,60E+14
