"","logFC","logCPM","F","PValue","FDR"
"220339_s_at",0.831248939733676,3.54942103380673,3.70799008262375,0.0598763218565444,0.169878288761062
"205885_s_at",1.06687376570514,2.99593955016224,3.70773651572835,0.0598847568786739,0.169880590391787
"219302_s_at",-0.605216033076032,3.48099309138089,3.705900416303,0.0599458745059764,0.170022744949267
"218627_at",0.660356191848906,6.10446106747458,3.70577270251263,0.0599501282173132,0.170022744949267
"204684_at",0.764469162405954,3.74251035704384,3.70467502171719,0.0599867018848938,0.170104820323376
"206244_at",-0.905704207397937,2.43474781409741,3.70315729083304,0.0600373115519762,0.170221292760016
"208893_s_at",1.8107743475542,3.95321583895742,3.70298518457122,0.0600430534979009,0.170221292760016
"206441_s_at",1.01293241529717,3.86369702688451,3.7021061670906,0.0600723893778647,0.170282795128732
"201323_at",0.489835854551681,5.07043664893483,3.69933497454676,0.0601649767413971,0.170481311658841
"209781_s_at",0.799242598773042,3.73767610111548,3.69920235337351,0.0601694116266666,0.170481311658841
"201594_s_at",0.485740763398332,6.2898239660442,3.69902392988159,0.0601753787189414,0.170481311658841
"210617_at",-0.694644226206818,3.45352989868882,3.69889256734613,0.0601797723468141,0.170481311658841
"202275_at",0.809930179265814,3.02506436669304,3.69886555862891,0.0601806757397319,0.170481311658841
"214121_x_at",-1.0095493567638,1.40588198105867,3.69810540944067,0.0602061074648828,0.170531675688316
"215621_s_at",-0.86841035814909,2.10917547702834,3.69784108829154,0.0602149534170858,0.170535054269563
"202230_s_at",0.510613830553155,5.35831126033128,3.69718516277972,0.0602369112306473,0.170575561437605
"219575_s_at",0.542167999810931,4.31578262587873,3.69547697095757,0.0602941360447292,0.170715912768069
"212498_at",0.476408781011205,6.69804043591565,3.6938914234296,0.0603473056412827,0.170844748012286
"221864_at",0.566689080589696,5.21477336950793,3.69324441011869,0.0603690173046854,0.170884503633169
"217608_at",0.685053806317169,3.05342911437729,3.69294475498322,0.0603790756615152,0.170891266730032
"219934_s_at",1.47465955952177,4.90669851900472,3.69254062209816,0.0603926438778813,0.170907960824337
"215844_at",-0.704870474688227,3.37245901242245,3.69122046267242,0.0604369897753913,0.171011738814609
"208310_s_at",0.741480153059167,5.30193717583782,3.69081389019024,0.0604506542790815,0.171028685792378
"203359_s_at",0.49459951264008,4.86586435958082,3.69052182075187,0.0604604725403253,0.171034747951767
"203003_at",-0.76937975084576,3.31942649025107,3.68982957395201,0.0604837502302342,0.171078878697678
"214465_at",-0.587948674686084,1.30001546957002,3.68927164530402,0.0605025184583734,0.171110244803647
"204927_at",1.07478989591275,4.62640354698318,3.68900179648656,0.0605115982282825,0.17111420600518
"202448_s_at",-0.41142347295149,4.06237387095725,3.68817689317038,0.0605393635353991,0.171168688157705
"211987_at",0.611665446699363,6.637105214059,3.68788609913357,0.0605491546652415,0.171168688157705
"220220_at",1.01604912481106,2.45356141322861,3.6877448959073,0.0605539096507286,0.171168688157705
"216722_at",-0.836819182650983,2.69864873403806,3.68702143938837,0.0605782783097428,0.171215851798072
