X	control_1h	exposed_1h	exposed_1h
200849_s_at	417.1	390.7	390.7
200850_s_at	779.7	856.1	856.1
200851_s_at	935.5	943.1	943.1
200852_x_at	702.2	1211.7	1211.7
200853_at	4135.1	3576.4	3576.4
200854_at	810.7	717.3	717.3
200855_at	149.6	151.5	151.5
200856_x_at	147.3	136.5	136.5
200857_s_at	478.7	482.0	482.0
200858_s_at	4746.5	4437.5	4437.5
200859_x_at	4066.1	3702.6	3702.6
200860_s_at	1303.7	1306.7	1306.7
200861_at	332.0	351.3	351.3
200862_at	1070.0	847.0	847.0
200863_s_at	1683.3	1716.7	1716.7
200864_s_at	343.0	282.9	282.9
200865_at	20.0	7.0	7.0
200866_s_at	2135.7	2264.8	2264.8
200867_at	671.9	522.3	522.3
200868_s_at	882.6	1035.9	1035.9
200869_at	7229.0	5723.8	5723.8
200870_at	1694.4	1621.1	1621.1
200871_s_at	3960.5	4450.8	4450.8
200872_at	6266.4	5776.8	5776.8
200873_s_at	1532.8	1383.4	1383.4
200874_s_at	298.4	264.0	264.0
200875_s_at	2778.9	1976.8	1976.8
200876_s_at	2427.7	2330.0	2330.0
200877_at	4579.7	4041.8	4041.8
200878_at	1692.0	1798.2	1798.2
200879_s_at	71.2	145.6	145.6
200880_at	1263.3	1089.3	1089.3
200881_s_at	3297.7	3279.3	3279.3
200882_s_at	864.9	708.2	708.2
200883_at	846.2	671.3	671.3
200884_at	360.2	386.7	386.7
200885_at	1999.2	2611.8	2611.8
200886_s_at	5530.2	4420.6	4420.6
200887_s_at	1348.8	1464.4	1464.4
200888_s_at	3314.0	3165.2	3165.2
200889_s_at	1399.7	1430.1	1430.1
200890_s_at	731.3	796.3	796.3
200891_s_at	3388.2	2747.2	2747.2
200892_s_at	1088.2	1308.5	1308.5
200893_at	2712.7	2489.6	2489.6
200894_s_at	313.6	364.4	364.4
200895_s_at	818.4	967.9	967.9
200896_x_at	1669.3	2163.7	2163.7
200897_s_at	958.5	852.0	852.0
200898_s_at	397.3	445.6	445.6
200899_s_at	588.8	463.0	463.0
200900_s_at	491.0	495.7	495.7
200901_s_at	837.8	735.9	735.9
200902_at	767.6	928.2	928.2
200903_s_at	1755.9	1588.8	1588.8
200904_at	173.8	148.9	148.9
200905_x_at	947.7	877.1	877.1
200906_s_at	145.7	183.0	183.0
200907_s_at	744.4	744.4	744.4
200908_s_at	44.8	44.8	44.8
200909_s_at	6810.4	6974.9	6974.9
200910_at	2257.4	2266.9	2266.9
200911_s_at	1071.3	1028.6	1028.6
200912_s_at	2350.2	2169.5	2169.5
200913_at	482.3	649.6	649.6
200914_x_at	297.0	423.7	423.7
200915_x_at	1659.3	1584.5	1584.5
200916_at	2125.3	2077.1	2077.1
200917_s_at	80.9	260.2	260.2
200918_s_at	727.3	744.3	744.3
200919_at	748.9	905.4	905.4
200920_s_at	209.4	351.6	351.6
200921_s_at	430.5	400.5	400.5
200922_at	474.2	747.1	747.1
200923_at	2749.9	2663.9	2663.9
200924_s_at	484.0	356.1	356.1
200925_at	5139.8	4982.9	4982.9
200926_at	10225.4	8202.2	8202.2
200927_s_at	445.2	496.4	496.4
200928_s_at	8.8	4.5	4.5
200929_at	992.5	997.0	997.0
200930_s_at	14.3	20.6	20.6
200931_s_at	2789.9	2139.9	2139.9
200932_s_at	757.0	742.1	742.1
200933_x_at	6117.2	5349.0	5349.0
200934_at	2180.6	1867.5	1867.5
200935_at	242.8	403.8	403.8
200936_at	9314.8	8466.4	8466.4
200937_s_at	4066.6	3817.8	3817.8
200938_s_at	28.9	11.8	11.8
200939_s_at	41.1	35.1	35.1
200940_s_at	371.6	436.1	436.1
200941_at	501.3	397.9	397.9
200942_s_at	675.9	685.2	685.2
200943_at	4283.8	3723.2	3723.2
200944_s_at	3204.1	2933.8	2933.8
200945_s_at	1129.2	1015.7	1015.7
200946_x_at	338.6	379.2	379.2
200947_s_at	318.9	285.6	285.6
200948_at	1610.0	2042.4	2042.4
200949_x_at	6220.0	5078.2	5078.2
200950_at	1533.4	1615.4	1615.4
200951_s_at	4.4	0.9	0.9
200952_s_at	8.4	1.5	1.5
200953_s_at	12.1	15.5	15.5
200954_at	659.9	662.8	662.8
200955_at	1037.5	920.4	920.4
200956_s_at	639.2	899.8	899.8
200957_s_at	922.3	948.8	948.8
200958_s_at	999.6	1111.8	1111.8
200959_at	1071.6	1014.6	1014.6
200960_x_at	2708.9	3148.4	3148.4
200961_at	390.5	323.0	323.0
200962_at	81.2	66.3	66.3
200963_x_at	7612.9	6493.3	6493.3
200964_at	2151.5	2527.3	2527.3
200965_s_at	118.5	124.9	124.9
200966_x_at	8266.1	6299.7	6299.7
200967_at	2203.0	1798.2	1798.2
200968_s_at	1729.1	1386.0	1386.0
200969_at	310.6	282.5	282.5
200970_s_at	451.6	418.3	418.3
200971_s_at	2077.5	2403.0	2403.0
200972_at	1377.4	1346.4	1346.4
200973_s_at	605.4	737.5	737.5
200974_at	708.5	675.2	675.2
200975_at	1048.4	1004.4	1004.4
200976_s_at	1276.4	1371.5	1371.5
200977_s_at	1210.0	1133.4	1133.4
200978_at	1992.1	2002.5	2002.5
200979_at	127.3	118.5	118.5
200980_s_at	1187.7	1131.2	1131.2
200981_x_at	9637.5	7297.3	7297.3
200982_s_at	408.1	710.9	710.9
200983_x_at	1810.5	1940.3	1940.3
200984_s_at	1392.5	1350.0	1350.0
200985_s_at	1608.4	1788.5	1788.5
200986_at	75.3	83.9	83.9
200987_x_at	394.7	330.2	330.2
200988_s_at	134.9	120.9	120.9
200989_at	3630.6	3387.3	3387.3
200990_at	2214.4	2987.3	2987.3
200991_s_at	491.9	476.7	476.7
200992_at	868.5	988.0	988.0
200993_at	805.0	900.2	900.2
200994_at	664.9	576.4	576.4
200995_at	353.8	324.2	324.2
200996_at	1641.1	1595.6	1595.6
200997_at	891.2	894.0	894.0
200998_s_at	398.8	484.0	484.0
200999_s_at	1043.5	821.7	821.7
201000_at	664.6	633.6	633.6
201001_s_at	1266.8	1294.1	1294.1
201002_s_at	2009.6	1825.4	1825.4
201003_x_at	491.5	488.3	488.3
201004_at	1382.1	1565.0	1565.0
201005_at	1470.3	1550.8	1550.8
201006_at	16.6	18.2	18.2
201007_at	745.1	757.6	757.6
201008_s_at	124.8	195.5	195.5
201009_s_at	221.3	287.3	287.3
201010_s_at	496.1	568.6	568.6
201011_at	1277.0	901.8	901.8
201012_at	2322.9	2584.5	2584.5
201013_s_at	1570.0	1524.1	1524.1
201014_s_at	953.3	956.6	956.6
201015_s_at	85.7	117.5	117.5
201016_at	520.5	380.2	380.2
201017_at	212.9	229.0	229.0
201018_at	160.0	157.7	157.7
201019_s_at	657.5	694.6	694.6
201020_at	966.4	994.1	994.1
201021_s_at	2555.7	2783.8	2783.8
201022_s_at	4654.6	4173.6	4173.6
201023_at	1192.8	1030.2	1030.2
201024_x_at	242.3	303.4	303.4
201025_at	134.5	138.5	138.5
201026_at	30.7	24.3	24.3
201027_s_at	390.2	348.4	348.4
201028_s_at	1000.5	1336.0	1336.0
201029_s_at	2253.5	2064.0	2064.0
201030_x_at	2056.9	2035.4	2035.4
201031_s_at	1443.0	1237.2	1237.2
201032_at	1202.9	1457.7	1457.7
201033_x_at	8738.4	6780.2	6780.2
201034_at	509.6	509.0	509.0
201035_s_at	233.8	166.0	166.0
201036_s_at	227.9	193.3	193.3
201037_at	2387.8	2614.6	2614.6
201038_s_at	358.4	305.4	305.4
201039_s_at	386.8	596.8	596.8
201040_at	539.3	869.9	869.9
201041_s_at	1244.2	1214.5	1214.5
201042_at	485.0	399.1	399.1
201043_s_at	147.9	274.5	274.5
201044_x_at	65.8	59.0	59.0
201045_s_at	4.6	3.3	3.3
201046_s_at	694.0	787.5	787.5
201047_x_at	875.2	949.6	949.6
201048_x_at	98.3	93.9	93.9
201049_s_at	10060.5	7225.5	7225.5
201050_at	440.2	646.3	646.3
201051_at	1174.2	1285.4	1285.4
201052_s_at	886.9	940.7	940.7
201053_s_at	445.9	394.9	394.9
201054_at	971.8	872.8	872.8
201055_s_at	171.1	237.3	237.3
201056_at	77.1	69.4	69.4
201057_s_at	257.2	281.8	281.8
201058_s_at	6775.2	6114.7	6114.7
201059_at	772.1	537.5	537.5
201060_x_at	1081.5	1073.9	1073.9
201061_s_at	1068.1	1022.5	1022.5
201062_at	2.7	10.9	10.9
201063_at	996.0	980.5	980.5
201064_s_at	1243.5	1083.1	1083.1
201065_s_at	1057.4	979.6	979.6
201066_at	2980.0	2846.3	2846.3
201067_at	332.3	497.9	497.9
201068_s_at	1884.2	2084.5	2084.5
201069_at	13.3	17.9	17.9
201070_x_at	99.8	166.4	166.4
201071_x_at	1840.3	1573.7	1573.7
201072_s_at	85.1	107.4	107.4
201073_s_at	185.6	253.3	253.3
201074_at	504.3	537.9	537.9
201075_s_at	321.3	442.7	442.7
201076_at	195.4	234.8	234.8
201077_s_at	1514.4	1705.0	1705.0
201078_at	822.9	933.6	933.6
201079_at	646.1	632.3	632.3
201080_at	122.5	140.0	140.0
