Name,logFC,logCPM,F,PValue,FDR
USP32,-0.073253337,6.100003206,0.535917997,0.475989018,0.775595433
RASL11A,-0.46130051,-0.956812747,0.535018622,0.476352704,0.776093312
YY1,-0.069207483,6.288688686,0.534397636,0.476604093,0.776357295
IFFO1,-0.344418543,0.041667441,0.534305837,0.476641275,0.776357295
CIRBP,0.068171757,5.895836549,0.534105106,0.476722595,0.776357295
RBM45,-0.192231601,2.304561425,0.534044014,0.476747349,0.776357295
TAF6,0.094514189,5.065464056,0.533760364,0.476862311,0.776449793
B4GALNT1,-0.343798074,-0.108720699,0.533088816,0.477134676,0.776715624
LAT2,0.296736615,0.51361139,0.532986342,0.477176261,0.776715624
PRKAG1,0.062294267,6.275228102,0.532927565,0.477200116,0.776715624
LAMTOR1,-0.07013691,6.400546542,0.532580788,0.477340898,0.776850054
CHD3,0.058553063,9.007578129,0.532359902,0.477430609,0.776901344
TMEM183A,-0.548759241,-0.181091997,0.532037141,0.477561747,0.776975782
EVPL,0.092150267,6.326317504,0.531960849,0.477592754,0.776975782
COPS5,-0.082408599,5.473493525,0.531721991,0.477689853,0.777039056
LINC00674,-0.062853537,6.266190111,0.531551834,0.477759045,0.777056925
SLC25A42,-0.148113757,2.266250487,0.531232641,0.477888886,0.777078855
BTBD10,-0.064063133,6.782848047,0.531232498,0.477888944,0.777078855
COPG2,-0.105522583,4.332758501,0.530832116,0.478051896,0.777236623
PRSS36,0.487145534,-0.896994939,0.530580736,0.478154254,0.777236623
PLB1,-0.181515367,1.413732596,0.530565085,0.478160628,0.777236623
ANTXR1,-0.074952812,5.93782139,0.530275343,0.478278656,0.777262358
THG1L,-0.105648207,4.134385905,0.530240376,0.478292904,0.777262358
ACAD9,0.069775064,5.95693815,0.530079771,0.478358352,0.777274099
BBIP1,0.112035604,3.538917828,0.529790035,0.478476461,0.777351475
EIF2B5,0.07173453,6.092667629,0.529677305,0.478522429,0.777351475
TSPAN18,-0.466244954,-0.962103384,0.529397753,0.478636453,0.777442103
MTX2,0.069129284,5.586316723,0.529249404,0.47869698,0.777445825
OCIAD2,-0.0710435,7.654196104,0.529034936,0.478784508,0.777493393
IFT46,-0.08306374,4.566723413,0.528868102,0.478852615,0.777509415
TBCD,0.095289942,5.222959414,0.52826469,0.479099084,0.777744224
STRC,-0.387085227,-0.49008787,0.528112424,0.479161313,0.777744224
PARP16,-0.154510429,2.444772396,0.528079585,0.479174736,0.777744224
WHAMMP1,0.302699691,0.379394824,0.52775941,0.479305638,0.777744224
CFD,-0.352655846,-0.046335249,0.527723343,0.479320388,0.777744224
TMPRSS4,-0.063499135,7.003749807,0.527418932,0.479444909,0.777744224
KCNK5,-0.501835859,-0.549036927,0.527284686,0.479499841,0.777744224
SPINK5,-0.090492878,5.75907883,0.527259206,0.479510268,0.777744224
SPDL1,-0.091873182,4.214110944,0.527132061,0.479562306,0.777744224
NANP,0.128185675,2.784231305,0.5270893,0.479579809,0.777744224
NTNG1,0.206227166,1.681433862,0.526005268,0.480023904,0.778302752
CORO1C,0.062836516,7.878637146,0.525845047,0.480089601,0.778302752
PLAC8,-0.295654003,0.383741551,0.525821853,0.480099113,0.778302752
PPP3R1,-0.076029904,5.793883297,0.525134965,0.480380951,0.778665091
IGFLR1,-0.559160147,-1.007491491,0.52470713,0.480556641,0.778855305
HS6ST1,-0.087699559,6.164823191,0.523996138,0.480848852,0.778991319
ACAA2,-0.132190845,3.574112205,0.523967866,0.480860478,0.778991319
EDC3,0.079521114,5.312437781,0.523960889,0.480863347,0.778991319
CHRNB4,0.255403121,0.737949687,0.523935064,0.480873967,0.778991319
WDR82,-0.06215492,6.777887938,0.523653957,0.480989594,0.779084092
CAPNS2,-0.091572084,5.80182324,0.523482417,0.481060177,0.779103889
CELSR1,-0.087944313,7.590921203,0.523203586,0.481174944,0.779168492
LOC100130992,0.602409082,-1.349619711,0.523101935,0.481216795,0.779168492
SFMBT2,-0.37886811,0.011226105,0.522600256,0.481423437,0.779180354
COL4A3BP,-0.071038152,5.971619948,0.522534237,0.481450641,0.779180354
SLC25A17,-0.094147896,3.699154569,0.522342023,0.481529862,0.779180354
SAP130,0.073829194,5.678179617,0.522211894,0.481583508,0.779180354
VLDLR,-0.071209657,5.347382706,0.522140545,0.481612926,0.779180354
DNAH6,-0.438711796,-0.783571926,0.522112931,0.481624312,0.779180354
NFE2L1,-0.057198496,9.972806489,0.522092636,0.48163268,0.779180354
CDCA4,-0.091252584,4.543576554,0.521734147,0.481780546,0.779306149
FBXO16,-0.141458773,2.445769356,0.521621108,0.481827187,0.779306149
MIR141,0.350693349,-0.144930226,0.521234278,0.481986857,0.779469962
C19orf57,0.440513968,-0.701172532,0.520947358,0.482105346,0.779492378
LOC100499489,-0.265491793,0.495691654,0.520917945,0.482117495,0.779492378
PIGW,-0.142427179,2.244452148,0.520702086,0.482206676,0.779542156
UXT,0.081211633,5.049044925,0.520509036,0.482286457,0.779576728
PYGO2,0.079659834,4.756436756,0.519994413,0.482499244,0.779749737
UTP15,-0.097461254,4.459571934,0.519967671,0.482510305,0.779749737
FGFBP3,-0.290356705,0.611652095,0.519541612,0.482686603,0.779940226
ME1,0.074405756,5.654894149,0.519026714,0.482899808,0.780067712
RASA2,-0.159743099,2.929678824,0.519026334,0.482899966,0.780067712
OIP5,-0.281674377,0.358425944,0.518927769,0.482940797,0.780067712
B3GNT7,0.096009987,3.665624777,0.518693683,0.483037794,0.780129996
PIGM,-0.148187605,3.058673593,0.518427134,0.483148283,0.780214053
PPP6R3,-0.058866842,7.292594039,0.517843591,0.483390324,0.780380968
KIF7,-0.257418123,0.808413731,0.517813217,0.483402928,0.780380968
AUNIP,0.173341422,2.580124414,0.517628674,0.483479519,0.780380968
XYLB,-0.163224946,1.813642511,0.517614345,0.483485467,0.780380968
EMG1,-0.082057658,5.180692319,0.517393388,0.483577201,0.780434675
