X	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5	VPA_EC10_24h_run1	VPA_EC10_24h_run2	VPA_EC10_24h_run3	VPA_EC10_24h_run4	VPA_EC10_24h_run5
sirt2_85107	43	21	25	23	0	49	37	22	25	7	20	10	27	19	18
gzma_85108	4	0	0	1	0	0	0	0	1	2	0	4	1	1	0
usp18_85109	5	13	1	1	0	5	7	2	6	4	3	3	3	6	1
gprc5ba_85110	416	422	414	340	0	413	326	350	236	366	278	352	386	373	398
si:ch211-266c8.1_85111	41	39	39	41	0	16	22	26	50	56	18	32	39	61	42
gnai2b_85112	13	9	21	8	0	11	10	7	10	10	9	9	15	4	8
prr15la_85113	66	59	54	51	0	29	62	31	32	44	69	24	42	38	41
rpl39_85114	10655	7731	9580	7293	1	9249	8324	10268	7429	5872	8776	5861	8075	8561	5925
col15a1b_85115	30	45	34	29	0	40	50	57	30	35	32	22	44	38	29
hspa4a_85116	7	7	6	5	0	12	10	8	5	0	5	4	6	8	3
grin3ba_85117	0	1	1	1	0	3	5	1	1	6	0	2	4	8	1
cybb_85118	12	7	16	2	0	15	3	5	2	3	4	8	9	4	4
narfl_85119	136	151	166	222	0	157	185	178	191	228	132	157	140	203	212
rpa1_85120	639	422	605	515	1	609	570	777	584	445	632	446	570	611	401
acaa1_85121	0	0	2	5	0	6	0	5	1	2	0	2	3	3	3
scn4aa_85122	0	4	2	1	0	0	3	0	9	5	0	3	4	3	1
rab11fip2_85123	41	25	22	13	0	44	23	14	18	8	46	5	16	29	19
ube2v2_85124	114	273	263	349	0	148	335	312	392	302	194	276	255	339	226
slc40a1_85125	8	22	20	8	0	6	11	20	20	8	10	6	19	13	11
flna_85126	1365	1044	1005	932	1	1161	1000	1002	846	933	888	842	895	1082	949
psmb3_85127	198	128	202	115	0	137	145	216	172	89	148	115	169	120	100
PHF21B_85128	90	78	56	37	0	113	63	51	31	59	65	32	38	40	49
grhl2b_85129	171	145	156	117	0	156	151	159	133	121	144	110	125	162	134
uevld_85130	4	4	5	2	0	7	3	2	4	2	3	1	1	7	1
smc1a_85131	3	2	4	1	0	2	1	0	0	3	0	2	2	4	1
ryr3_85132	0	6	1	2	0	0	1	2	3	0	0	3	3	0	0
amacr_85133	7	6	15	6	0	5	4	7	5	4	8	2	2	0	1
nsdhl_85134	6	5	8	4	0	7	2	5	3	0	2	8	5	7	4
scarb1_85135	1	3	3	1	0	0	1	1	1	1	4	0	0	1	0
tm9sf2_85136	62	62	75	117	0	59	101	85	105	79	27	70	65	116	92
creld2_85137	8	3	5	5	0	0	3	6	3	0	3	1	2	4	4
enosf1_85138	14	6	5	4	0	12	11	10	4	1	4	1	4	3	3
dcn_85139	96	92	121	130	0	76	96	161	132	116	88	89	129	140	70
ddr1_85140	7	1	0	5	0	3	4	1	0	4	1	3	3	5	6
btg2_85141	1008	1158	1158	961	1	962	922	1146	871	879	789	766	802	1041	696
casp6_85142	31	36	18	25	0	10	29	25	31	25	13	30	15	23	20
htr6_85143	0	1	0	0	0	0	1	2	0	3	1	1	0	0	0
stambpa_85144	110	89	95	66	0	112	91	90	76	69	101	72	74	78	59
clstn1_85145	55	38	45	25	0	71	32	67	22	23	36	21	33	30	21
igfbp3_85146	32	6	19	2	0	24	9	24	7	9	18	4	10	17	6
zgc:66313_85147	42	76	35	55	0	63	51	59	36	31	45	58	69	60	39
chmp6b_85148	42	24	51	27	0	33	27	32	30	16	44	35	22	24	15
scn4bb_85149	8	1	1	1	0	1	0	3	1	0	1	3	2	6	0
dio3b_85150	3	4	1	1	0	1	5	3	1	1	4	2	0	1	1
st3gal5_85151	171	242	192	321	0	160	277	238	323	250	195	234	205	326	271
bcas2_85152	180	164	163	133	0	261	184	190	150	72	122	115	145	144	63
prkcda_85153	74	80	119	64	0	122	90	96	86	82	67	75	86	101	90
padi2_85154	708	656	741	795	0	706	691	803	777	777	628	561	636	648	610
kcnk1a_85155	44	20	35	19	0	30	13	34	26	9	17	14	20	9	16
akap8l_85156	11	4	2	2	0	16	7	2	6	2	6	2	5	3	2
fkbp5_85157	0	6	4	2	0	7	2	3	0	0	3	2	2	4	1
gnb5b_85158	3	0	0	3	0	6	1	0	2	1	0	0	1	1	2
galnt2_85159	735	1026	884	1117	0	745	948	943	907	1008	756	809	784	1079	1141
hnrnph1l_85160	7	9	24	12	0	12	12	15	5	6	17	4	4	8	4
zdhhc6_85161	11	4	11	8	0	18	11	22	3	12	3	10	11	13	5
il4_85162	4	2	0	1	0	2	7	0	1	1	0	2	0	3	3
srd5a1_85163	10	6	4	5	0	4	10	12	6	4	4	3	2	9	5
uqcrq_85164	816	3372	2831	5556	7	1117	3471	3307	5393	6097	1096	3039	2454	4839	3705
si:ch211-71m22.1_85165	3	1	4	3	0	9	2	0	5	4	2	3	1	9	4
lrp6_85166	84	42	35	15	0	57	26	41	10	22	53	15	29	40	21
gabrd_85167	8	10	10	5	0	6	11	17	2	5	5	10	3	8	14
il17rc_85168	13	17	8	10	0	10	14	8	5	9	8	9	6	12	11
hspd1_85169	83	53	77	49	0	75	61	63	53	27	59	28	55	63	26
tbxa2r_85170	13	2	12	4	0	3	5	6	3	9	4	4	7	4	0
sqstm1_85171	2	2	1	0	0	0	2	0	0	1	1	1	1	2	0
ikbkg_85172	237	113	198	118	0	262	102	166	121	71	139	110	158	165	95
mpx_85173	10	2	1	4	0	5	7	10	5	4	4	3	0	5	4
fkbp14_85174	32	11	8	7	0	15	11	12	5	1	17	6	8	8	6
pfklb_85175	5	6	11	3	0	7	1	5	0	5	1	7	5	14	2
slc29a2_85176	168	169	79	207	0	151	127	145	152	118	118	134	63	139	220
ar_85177	9	1	10	4	0	1	10	4	4	1	0	1	1	8	4
pcdhb_85178	7	4	8	6	0	8	3	2	2	15	2	2	5	4	8
cryabb_85179	7	4	3	6	0	1	8	2	1	6	6	1	1	1	4
cd37_85180	4	6	2	2	0	0	3	4	6	5	2	1	2	1	2
gria4b_85181	6	4	6	7	0	3	3	4	2	5	7	4	3	4	5
arl4ca_85182	38	50	51	39	0	44	54	79	51	39	40	24	22	56	44
pllp_85183	9	12	25	35	0	9	15	8	52	38	7	25	17	37	31
uqcrfs1_85184	26	6	10	9	0	11	9	14	6	3	6	10	7	5	2
vtg7_85185	0	0	3	1	1	1	4	1	2	0	0	2	2	2	0
cndp2_85186	3	0	3	3	0	4	1	3	1	4	7	1	2	5	1
acd_85187	114	89	98	51	0	119	76	84	67	49	114	70	63	89	60
CR381531.2_85188	34	9	23	16	0	26	25	25	15	39	39	16	15	11	51
dek_85189	25	20	20	24	0	21	24	33	30	9	20	16	21	29	18
arntl2_85190	131	164	221	165	0	179	158	177	207	160	149	167	149	200	186
egf_85191	9	3	6	5	0	5	6	4	5	2	4	5	5	8	7
cnr2_85192	0	1	1	0	0	0	0	6	0	1	0	2	0	0	2
pfn1_85193	589	613	855	532	1	735	789	907	724	433	556	480	625	641	315
cst3_85194	203	130	198	235	0	153	149	177	334	164	105	219	119	221	187
zgc:111986_85195	327	131	144	125	0	159	102	158	82	100	112	58	94	113	100
slc35a3a_85196	29	17	18	11	0	33	29	25	11	12	23	29	25	18	17
dad1_85197	269	371	280	366	0	284	330	327	362	343	227	262	240	328	281
slc5a1_85198	2	11	6	2	0	3	3	3	2	3	2	3	2	2	7
CR318624.2_85199	2	1	6	2	0	5	2	2	7	1	0	3	3	9	2
egr2a_85200	4	11	0	8	0	6	6	5	8	5	0	9	4	10	7
cyth1a_85201	13	11	8	5	0	7	7	5	10	9	16	2	8	11	3
ktn1_85202	404	382	381	417	0	347	348	412	262	289	369	422	388	404	476
adam15_85203	4	0	0	2	0	5	1	1	5	1	3	4	0	5	4
slc2a2_85204	13	9	19	25	0	9	18	17	26	16	12	9	12	32	21
BX005105.1_85205	4	5	5	4	0	1	2	1	2	14	1	1	1	1	3
vdac2_85206	260	243	312	221	0	356	229	393	243	170	234	202	210	290	151
tlr1_85207	1	7	2	0	0	1	3	6	5	5	0	3	4	7	1
comtb_85208	21	4	7	2	0	2	2	7	11	7	0	2	9	11	7
lbr_85209	168	202	225	216	1	145	217	233	262	241	182	147	178	189	178
masp2_85210	22	0	17	3	0	7	8	2	4	6	6	3	4	0	3
axin1_85211	24	16	6	2	0	19	8	9	7	8	17	4	7	11	14
lrrc20_85212	21	10	25	10	0	21	10	18	15	11	29	10	9	18	12
slc5a5_85213	1	3	10	1	0	1	2	3	4	5	0	3	5	2	0
coasy_85214	14	1	9	2	0	6	2	3	5	7	3	5	6	4	5
il10rb_85215	340	211	260	241	0	322	281	268	221	250	205	250	243	292	230
cyb5r2_85216	12	7	14	15	0	11	5	7	6	7	6	6	5	14	6
tomm70a_85217	19	7	6	5	0	7	8	9	6	4	17	2	14	21	12
ccr7_85218	0	6	5	1	0	1	2	0	5	4	0	0	4	0	1
nkx2.2a_85219	16	36	21	30	0	52	46	36	25	22	12	20	37	27	12
cyp26b1_85220	400	300	370	310	0	366	342	381	218	252	347	206	308	292	241
srp72_85221	105	101	102	59	0	102	104	110	109	72	61	51	94	70	56
grin2db_85222	20	8	21	10	0	12	9	12	12	11	12	5	7	8	15
pik3c2g_85223	3	5	2	2	0	2	2	4	1	4	0	3	1	8	3
mrps17_85224	309	619	598	787	0	277	549	481	661	688	330	494	421	718	627
rpl6_85225	2337	1835	2152	1617	0	2384	2267	2961	2139	1365	1937	1309	2069	2105	1161
snai2_85226	182	131	174	112	0	149	124	180	111	97	147	104	111	163	69
dnajb6b_85227	76	69	143	130	0	67	73	83	85	61	51	91	60	79	55
esr1_85228	2	3	0	1	0	4	0	0	1	4	2	6	1	0	2
ctsla_85229	1195	546	1264	930	0	570	480	671	814	736	1180	1339	1621	2651	2035
mapkapk5_85230	87	107	87	105	0	93	108	94	109	95	84	66	63	110	119
amer1_85231	292	158	186	162	0	200	185	268	106	134	279	173	172	169	130
atmin_85232	57	81	68	55	0	27	88	61	62	95	60	38	75	76	71
lhfpl6_85233	1	2	10	0	0	6	1	4	5	0	0	0	4	3	2
per1a_85234	1	5	0	1	0	0	0	1	3	6	5	4	2	1	1
mgst1.2_85235	92	17	65	41	0	44	67	75	45	27	54	27	32	49	31
stat3_85236	305	331	224	292	0	302	280	259	250	255	263	265	205	359	304
abcg1_85237	2	0	1	2	0	2	2	0	3	5	1	2	1	3	0
hdhd5_85238	21	9	7	14	0	16	6	7	1	6	26	7	7	3	9
snrpa_85239	57	25	36	50	0	60	48	42	38	24	52	28	28	32	14
amy2a_85240	0	5	8	1	0	0	0	2	5	3	0	0	5	2	2
lama2_85241	18	17	13	10	0	14	4	17	4	5	18	6	13	9	4
ikzf1_85242	8	18	31	15	0	11	13	17	11	7	10	13	13	7	8
bcat1_85243	3	8	10	0	0	3	1	2	3	4	0	4	4	3	2
si:dkeyp-51b9.3_85244	2	10	12	8	0	12	15	3	4	8	11	1	8	7	12
wt1a_85245	5	4	5	8	0	9	4	2	8	1	2	10	7	4	1
