X	Mhex_1.2EC10_24h_run1	Mhex_1.2EC10_24h_run2	Mhex_1.2EC10_24h_run3	Mhex_1.2EC10_24h_run4	Mhex_1.2EC10_24h_run5	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5
hexb_85582	26	8	21	11	19	18	6	46	17	0	19	9	24	43	11
rae1_85583	6	14	15	11	9	18	12	12	6	0	13	15	16	12	21
chrna2a_85584	9	8	4	2	4	5	5	11	8	0	4	7	7	4	5
baxa_85585	11	10	22	3	11	8	13	25	12	0	15	19	6	17	16
alg8_85586	47	48	55	45	2	13	40	61	16	0	9	87	56	76	17
lsm1_85587	29	27	30	23	35	23	33	49	15	0	16	33	34	14	15
ptk2ba_85588	7	0	0	4	1	5	0	0	2	0	1	0	4	0	7
kdelr2b_85589	281	272	330	351	376	291	381	347	368	0	249	332	309	335	387
l1cama_85590	0	7	0	1	1	0	1	9	1	0	0	2	1	1	7
stx4_85591	18	18	21	20	8	31	9	11	17	0	11	17	17	11	11
cenpe_85592	592	440	529	674	645	1135	663	742	520	0	1064	556	731	413	390
fosb_85593	5	2	0	2	0	8	3	0	0	0	1	3	0	0	2
mpi_85594	2	2	2	5	4	1	5	4	2	0	3	3	4	4	1
pax3a_85595	80	63	71	49	49	143	70	70	43	0	151	87	77	39	29
rnmt_85596	87	75	89	150	124	95	93	42	115	0	82	103	91	126	92
nqo1_85597	468	346	542	688	607	329	603	401	693	1	412	478	568	643	834
itpr2_85598	0	1	0	4	2	0	2	0	0	0	2	0	0	1	2
si:ch73-190m4.1_85599	0	0	0	1	5	0	0	2	0	0	0	0	0	0	1
adam10a_85600	1039	733	948	738	870	846	686	1005	751	0	840	882	865	866	710
pora_85601	21	27	21	8	15	19	13	26	12	0	15	19	33	31	9
ncbp2_85602	23	18	20	19	14	23	8	21	22	1	13	15	16	19	14
scn1laa_85603	25	21	23	23	30	41	23	46	18	0	28	17	13	17	10
vapb_85604	148	90	149	80	108	129	120	65	93	1	128	125	110	97	172
copa_85605	847	778	1141	1297	1366	794	1139	781	1643	0	718	1126	744	1437	1838
slc22a6l_85606	9	7	13	9	12	15	18	19	12	0	24	10	26	3	8
igl4v10_85607	4	3	3	5	5	13	21	12	9	0	4	8	9	0	8
ccdc92_85608	11	13	32	26	39	11	15	24	27	0	8	17	15	17	24
cherp_85609	170	145	128	145	141	299	140	188	94	0	239	140	183	78	79
trdmt1_85610	10	20	17	13	12	35	10	25	13	0	27	13	11	12	4
tomm20a_85611	470	332	373	454	413	769	361	504	255	0	704	363	477	240	248
rx3_85612	39	37	52	31	37	29	61	36	42	0	45	43	63	51	56
ephb1_85613	4	0	2	1	0	1	5	0	0	0	1	3	1	1	5
ripk1l_85614	95	41	65	84	106	107	71	102	72	0	82	84	119	66	62
coq5_85615	58	40	67	53	55	42	60	53	71	0	65	81	58	75	43
vtg3_85616	3	3	2	1	1	1	3	4	1	0	1	3	2	2	2
cd44a_85617	0	0	0	3	3	0	0	8	1	0	0	0	1	0	0
fgf10b_85618	1	3	0	2	4	4	3	2	6	0	2	2	1	2	2
rpsa_85619	2637	2016	2272	2309	2292	6239	2434	2997	1679	2	5655	2460	3321	1565	1307
med12_85620	60	46	68	40	33	42	37	78	33	0	43	58	79	31	31
ripk3_85621	0	1	2	3	2	0	1	5	0	0	0	1	1	0	5
pwp1_85622	299	268	331	349	328	236	321	321	353	0	249	318	298	320	329
